识别结果,文件名,点数,匹配度,匹配次数,用时,方法
识别成功: 11_b.png , Tb , [模板匹配] , [匹配度:85.0%] , [匹配次数:26] , [10ms]
识别成功: 73_b.png , 8b , [模板匹配] , [匹配度:85.4%] , [匹配次数:26] , [12ms]
识别成功: 74_b.png , 8b , [模板匹配] , [匹配度:83.7%] , [匹配次数:26] , [13ms]
识别成功: 74_r.png , 4r , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [12ms]
识别成功: 75_b.png , 6b , [模板匹配] , [匹配度:86.2%] , [匹配次数:26] , [10ms]
识别成功: 75_r.png , 8r , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [11ms]
识别成功: 76_b.png , 6b , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [10ms]
识别成功: 76_r.png , 2r , [模板匹配] , [匹配度:90.7%] , [匹配次数:26] , [12ms]
识别成功: 81_b.png , 6b , [模板匹配] , [匹配度:85.2%] , [匹配次数:26] , [11ms]
识别成功: 81_r.png , 5r , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [10ms]
识别成功: 82_b.png , Jb , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [14ms]
识别成功: 82_r.png , Kr , [模板匹配] , [匹配度:91.6%] , [匹配次数:26] , [13ms]
识别成功: 83_r.png , 9r , [模板匹配] , [匹配度:85.5%] , [匹配次数:26] , [14ms]
识别成功: 84_b.png , Jb , [模板匹配] , [匹配度:95.2%] , [匹配次数:26] , [8ms]
识别成功: 85_b.png , 5b , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [10ms]
识别成功: 85_r.png , Ar , [模板匹配] , [匹配度:84.4%] , [匹配次数:26] , [9ms]
识别成功: 86_r.png , Qr , [模板匹配] , [匹配度:89.8%] , [匹配次数:26] , [8ms]

# MS Freecell Game Layout
#
: TS KH KD 7H JH 4H 5H
: KS JD JD 8H AH 4D JD
: 8D KC 7C 6H 9H 9D AD
: 5C 3H QS QH TH 5D QD
: QC TD 4C 6D 7D TD
: QD 9D 5D 3D 2H AC
: 4D AD 8C 4D 8D 2D
: 5D KD 9D JC AD QD

# 验证失败:
# S花色数量错误: 3张
# S花色缺少: 2,3,4,5,6,7,8,9,A,J
# D花色数量错误: 28张
# D花色重复: 4,5,8,9,A,J,K,Q,T
# C花色数量错误: 8张
# C花色缺少: 2,3,6,9,T
